"Name","Created","Runtime","End Time","ID","Notes","Updated","Tags","augmentation","dataset","epochs","lr","model","name","optimizer","valid_batch_size","model_load","Test Accuracy","Test Loss","Train Accuracy","Train Loss","Test Accuracyage","Test Accuracygender","Test Accuracymask","Test Lossage","Test Lossgender","Test Lossmask","Train Accuracyage","Train Accuracygender","Train Accuracymask","Train Lossage","Train Lossgender","Train Lossmask"
"model/res50M2w6","2022-03-02T13:06:36.000Z","309","2022-03-02T13:11:45.000Z","9fgzeo8g","-","2022-03-02T13:11:45.000Z","","CenterCropAugmentation","_3WaysDataset","5","0.0003","Res50M2Ways","res50M2w","Adam","64","False","","","","","0.9212529274004684","0.9818501170960188","","0.3716543018743769","0.2476519118502455","","0.999218761920929","0.999218761920929","","0.002626547969339299","0.2195248693227768",""
"model/res183","2022-03-02T02:16:01.000Z","194","2022-03-02T02:19:15.000Z","1r380mbj","-","2022-03-02T02:19:15.000Z","","CenterCropAugmentation","_3WaysDataset","5","0.0001","Res183Ways","res18","Adam","64","False","","","","","0.9127634660421544","0.9660421545667448","0.9900468384074942","0.25083845277439876","0.5613498232274685","0.008930040265319272","0.999218761920929","0.98046875","1","0.09415285773575306","0.5379984945058822","0.0019295413687359544"
"model/res182","2022-03-02T02:07:16.000Z","208","2022-03-02T02:10:44.000Z","2sezqmbg","-","2022-03-02T02:10:44.000Z","","CustomAugmentation","_3WaysDataset","5","0.0001","Res183Ways","res18","Adam","64","False","","","","","0.6668618266978923","0.6457845433255269","0.8644613583138173","0.7391167980320049","0.7392715204436824","0.3460032622206886","0.7007812857627869","0.6546875238418579","0.8648437857627869","0.7201105028390884","0.7297178149223328","0.3724804922938347"
"model/Reres182","2022-03-02T01:06:10.000Z","192","2022-03-02T01:09:22.000Z","3moxladw","-","2022-03-02T01:09:22.000Z","","CustomAugmentation","_3WaysDataset","5","0.0001","Res183Ways","Reres18","Adam","64","False","","","","","0.9115925058548008","0.9663348946135832","0.9900468384074942","0.25130665808353786","0.5614212149719022","0.008996686076675102","0.999218761920929","0.98046875","1","0.09434642866253852","0.5380293697118759","0.0019236895896028727"
"Reres18","2022-03-02T00:51:33.000Z","272","2022-03-02T00:56:05.000Z","1103cjq1","-","2022-03-02T00:56:05.000Z","","CustomAugmentation","MaskSplitByProfileDataset","5","0.0001","Res18","Reres18","Adam","64","","0.8966627634660421","0.3897253150243382","0.99453125","0.02372154680779204","","","","","","","","","","","",""
"model/Reres50_3w","2022-03-01T16:47:29.000Z","316","2022-03-01T16:52:45.000Z","16h0dwed","-","2022-03-02T13:48:32.000Z","","CustomAugmentation","_3WaysDataset","5","0.0001","Res503Ways","Reres50","Adam","64","False","","","","","0.9244730679156908","0.96692037470726","0.9903395784543324","0.22911306442517151","0.6341493748268991","0.008752415486323682","0.995312511920929","0.9820312857627868","0.998437523841858","0.09263100288808346","0.6215260088443756","0.003415623497858178"
"model/Reres503","2022-03-01T15:54:20.000Z","61","2022-03-01T15:55:21.000Z","2o712ily","-","2022-03-01T15:55:21.000Z","","CustomAugmentation","_3WaysDataset","5","0.0001","Res503Ways","Reres50","Adam","64","False","","","","","","","","","","","0.9976562857627868","0.99609375","1","0.12505927868187428","0.4076649263501167","0.00742108030244708"
"Reres50","2022-03-01T07:12:02.000Z","944","2022-03-01T07:27:46.000Z","1jxmixdx","-","2022-03-01T07:27:46.000Z","","CustomAugmentation","MaskSplitByProfileDataset","5","0.0001","Res50","Reres50","Adam","64","","0.8984192037470726","0.3597100516517629","0.990625","0.038958612724673006","","","","","","","","","","","",""
"model/res50CusDS34","2022-02-27T13:04:03.000Z","170","2022-02-27T13:06:53.000Z","tcz5o30h","-","2022-02-27T13:06:53.000Z","","CustomAugmentation","MaskSplitByProfileDataset","1","0.0001","MyModel","res50CusDS3","Adam","64","True","","","0.98984375","0.04001549719832838","","","","","","","","","","","",""
"model/res50CusDS4","2022-02-27T13:00:21.000Z","199","2022-02-27T13:03:40.000Z","3abm5h7n","-","2022-02-27T13:03:40.000Z","","CustomAugmentation","MaskSplitByProfileDataset","5","0.0001","MyModel","res50CusDS4","Adam","64","False","0.8925644028103045","0.30187133928093146","0.9921875","0.04373385366052389","","","","","","","","","","","",""
"res50CusDS","2022-02-25T06:53:33.000Z","821","2022-02-25T07:07:14.000Z","vd244vhj","-","2022-02-25T07:07:14.000Z","","CustomAugmentation","MaskSplitByProfileDataset","5","0.0001","MyModel","res50CusDS","Adam","64","","0.8805620608899297","0.464805097073176","0.99609375","0.015927514631766827","","","","","","","","","","","",""
"res50adamMASBP","2022-02-25T06:06:35.000Z","218","2022-02-25T06:10:13.000Z","3o4sj3eb","-","2022-02-25T06:10:13.000Z","","BaseAugmentation","MaskSplitByProfileDataset","5","0.001","MyModel","res50adamMASBP","Adam","1000","","0.7049180327868853","0.6755063335100809","0.94453125","0.18030756525695324","","","","","","","","","","","",""
